RequestID,Boro,Yr,M,D,HH,MM,Vol,SegmentID,WktGeom,street,fromSt,toSt,Direction
23584,Brooklyn,2016,7,3,15,0,186,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,15,15,207,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,15,30,186,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,15,45,170,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,16,0,161,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,16,15,169,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,16,30,187,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,16,45,158,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,18,0,146,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,18,15,177,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,18,30,159,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23584,Brooklyn,2016,7,3,18,45,169,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,NB
23496,Brooklyn,2016,6,6,15,0,512,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,15,15,496,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,15,30,522,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,15,45,477,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,16,0,482,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,16,15,473,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,16,30,467,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,16,45,483,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,18,0,450,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,18,15,490,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,18,30,470,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23496,Brooklyn,2016,6,6,18,45,493,27822,POINT (991808.536008243 171100.03311379233),OCEAN PARKWAY,Cortelyou Road,Ditmas Avenue,SB
23584,Brooklyn,2016,7,9,15,0,248,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
23584,Brooklyn,2016,7,9,15,15,254,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
23584,Brooklyn,2016,7,9,15,30,283,150372,POINT (997355.9816928023 208572.9762857783),PULASKI BRIDGE,Newtown Creek Shoreline,Dead end,SB
